"Index" "neutrons" "muons" "gamma" "integration_time.s." "V_in.Volt." "temperature_in..C." "temperature_ext..C." "ur..." "pressure.hPa." "N_jung" "fi" "fp" "Nc" "Nc_SGF" "SM"
"2023-03-28 16:00:00" 649 3510 0 3613 14.2 27.1 0 0 1017.9 154.968 0.989376891982353 1.07195624534021 688.309111192898 675.923301737099 0.203656340437026
"2023-03-28 17:00:00" 641 3470 0 3610 14.1 26 0 0 1017.4 155.411 0.986556667138885 1.06789054133792 675.315635865479 678.370392767905 0.200789625808866
"2023-03-28 18:00:00" 666 3405 0 3610 13.3 21.1 0 0 1017.5 154.592 0.99178326301957 1.06870244663427 705.907519013477 678.269924565898 0.200906420368759
"2023-03-28 19:00:00" 624 3358 0 3618 12.7 16.8 0 0 1017.9 154.169 0.994504460667977 1.07195624534021 665.224727002205 679.278143476775 0.199737825576487
"2023-03-28 20:00:00" 590 3520 0 3611 12.7 14 0 0 1018.3 152.861 1.00301422989985 1.07521995064462 636.291937353577 680.590170176232 0.198228530886793
"2023-03-28 21:00:00" 621 3317 0 3614 12.7 11.4 0 0 1018.5 152.338 1.0064577334396 1.07685552769326 673.04574523296 680.807172962051 0.197980136961244
"2023-03-28 22:00:00" 619 3331 0 3617 13.1 9 0 0 1018.4 152.928 1.00257479465318 1.07603742840932 667.782154368668 680.755801343327 0.198038908339268
"2023-03-28 23:00:00" 616 3234 0 3619 13.1 8.3 0 0 1018.3 152.688 1.00415067455675 1.07521995064462 665.084628661793 682.373853590717 0.19619712976964
"2023-03-29 00:00:00" 671 3258 0 3610 12.8 7.3 0 0 1018.4 153.363 0.999731083747197 1.07603742840932 721.826951250105 683.487037494707 0.194941137574557
"2023-03-29 01:00:00" 633 3283 0 3611 12.6 6.2 0 0 1017.9 152.466 1.00561278053285 1.07195624534021 682.356846007717 683.694874039797 0.194707631918171
"2023-03-29 02:00:00" 690 3214 0 3612 12.4 7.2 0 0 1018.4 152.505 1.00535561585995 1.07603742840932 746.442187353494 685.261405561139 0.192957592967308
"2023-03-29 03:00:00" 653 3370 0 3614 13.2 9.8 0 0 1018.2 153.034 1.001880354671 1.07440309392701 702.904449380492 686.034341680674 0.192100545855007
"2023-03-29 04:00:00" 621 3445 0 3611 12.9 10.2 0 0 1017.5 153.076 1.00160546523767 1.06870244663427 664.72970919355 685.855348493113 0.192298641511819
"2023-03-29 05:00:00" 623 3338 0 3610 12.8 9.2 0 0 1017.8 152.805 1.00338181470974 1.07114186809631 669.578141095937 686.996458131692 0.191039607975199
"2023-03-29 06:00:00" 650 3370 0 3611 12.5 8.8 0 0 1017.7 153.072 1.00163163868455 1.07032810954397 696.848423890233 685.540833140546 0.19264727037277
